no;date;monday;tuesday;wednesday;thursday;friday;saturday;sunday;promo;quantity
1;01/01/2001;1;0;0;0;0;0;0;NA;NA
2;02/01/2001;0;1;0;0;0;0;0;0;12
3;03/01/2001;0;0;1;0;0;0;0;0;6
4;04/01/2001;0;0;0;1;0;0;0;0;8
5;05/01/2001;0;0;0;0;1;0;0;0;12
6;06/01/2001;0;0;0;0;0;1;0;0;4
7;07/01/2001;0;0;0;0;0;0;1;0;3
8;08/01/2001;1;0;0;0;0;0;0;0;12
9;09/01/2001;0;1;0;0;0;0;0;0;13
10;10/01/2001;0;0;1;0;0;0;0;0;15
11;11/01/2001;0;0;0;1;0;0;0;0;18
12;12/01/2001;0;0;0;0;1;0;0;0;18
13;13/01/2001;0;0;0;0;0;1;0;0;5
14;14/01/2001;0;0;0;0;0;0;1;0;0
15;15/01/2001;1;0;0;0;0;0;0;0;9
16;16/01/2001;0;1;0;0;0;0;0;0;11
17;17/01/2001;0;0;1;0;0;0;0;0;13
18;18/01/2001;0;0;0;1;0;0;0;0;13
19;19/01/2001;0;0;0;0;1;0;0;0;13
20;20/01/2001;0;0;0;0;0;1;0;0;3
21;21/01/2001;0;0;0;0;0;0;1;0;1
22;22/01/2001;1;0;0;0;0;0;0;0;8
23;23/01/2001;0;1;0;0;0;0;0;0;5
24;24/01/2001;0;0;1;0;0;0;0;0;16
25;25/01/2001;0;0;0;1;0;0;0;1;18
26;26/01/2001;0;0;0;0;1;0;0;1;20
27;27/01/2001;0;0;0;0;0;1;0;1;10
28;28/01/2001;0;0;0;0;0;0;1;1;3
29;29/01/2001;1;0;0;0;0;0;0;1;16
30;30/01/2001;0;1;0;0;0;0;0;1;16
31;31/01/2001;0;0;1;0;0;0;0;1;17
32;01/02/2001;0;0;0;1;0;0;0;1;14
33;02/02/2001;0;0;0;0;1;0;0;1;17
34;03/02/2001;0;0;0;0;0;1;0;1;9
35;04/02/2001;0;0;0;0;0;0;1;1;4
36;05/02/2001;1;0;0;0;0;0;0;1;14
37;06/02/2001;0;1;0;0;0;0;0;1;20
38;07/02/2001;0;0;1;0;0;0;0;1;19
39;08/02/2001;0;0;0;1;0;0;0;1;14
40;09/02/2001;0;0;0;0;1;0;0;1;20
41;10/02/2001;0;0;0;0;0;1;0;1;7
42;11/02/2001;0;0;0;0;0;0;1;1;2
43;12/02/2001;1;0;0;0;0;0;0;1;17
44;13/02/2001;0;1;0;0;0;0;0;1;14
45;14/02/2001;0;0;1;0;0;0;0;1;11
46;15/02/2001;0;0;0;1;0;0;0;1;17
47;16/02/2001;0;0;0;0;1;0;0;1;31
48;17/02/2001;0;0;0;0;0;1;0;1;10
49;18/02/2001;0;0;0;0;0;0;1;1;4
50;19/02/2001;1;0;0;0;0;0;0;1;17
51;20/02/2001;0;1;0;0;0;0;0;1;19
52;21/02/2001;0;0;1;0;0;0;0;1;15
53;22/02/2001;0;0;0;1;0;0;0;1;22
54;23/02/2001;0;0;0;0;1;0;0;1;29
55;24/02/2001;0;0;0;0;0;1;0;1;23
56;25/02/2001;0;0;0;0;0;0;1;1;6
57;26/02/2001;1;0;0;0;0;0;0;1;25
58;27/02/2001;0;1;0;0;0;0;0;1;29
59;28/02/2001;0;0;1;0;0;0;0;1;16
60;01/03/2001;0;0;0;1;0;0;0;1;26
61;02/03/2001;0;0;0;0;1;0;0;1;20
62;03/03/2001;0;0;0;0;0;1;0;1;11
63;04/03/2001;0;0;0;0;0;0;1;1;4
64;05/03/2001;1;0;0;0;0;0;0;1;24
65;06/03/2001;0;1;0;0;0;0;0;1;19
66;07/03/2001;0;0;1;0;0;0;0;1;22
67;08/03/2001;0;0;0;1;0;0;0;1;17
68;09/03/2001;0;0;0;0;1;0;0;1;26
69;10/03/2001;0;0;0;0;0;1;0;1;10
70;11/03/2001;0;0;0;0;0;0;1;1;3
71;12/03/2001;1;0;0;0;0;0;0;1;36
72;13/03/2001;0;1;0;0;0;0;0;1;30
73;14/03/2001;0;0;1;0;0;0;0;1;27
74;15/03/2001;0;0;0;1;0;0;0;1;27
75;16/03/2001;0;0;0;0;1;0;0;1;19
76;17/03/2001;0;0;0;0;0;1;0;1;9
77;18/03/2001;0;0;0;0;0;0;1;1;7
78;19/03/2001;1;0;0;0;0;0;0;1;20
79;20/03/2001;0;1;0;0;0;0;0;1;29
80;21/03/2001;0;0;1;0;0;0;0;1;26
81;22/03/2001;0;0;0;1;0;0;0;1;22
82;23/03/2001;0;0;0;0;1;0;0;1;29
83;24/03/2001;0;0;0;0;0;1;0;1;13
84;25/03/2001;0;0;0;0;0;0;1;1;5
85;26/03/2001;1;0;0;0;0;0;0;1;17
86;27/03/2001;0;1;0;0;0;0;0;1;16
87;28/03/2001;0;0;1;0;0;0;0;1;18
88;29/03/2001;0;0;0;1;0;0;0;1;19
89;30/03/2001;0;0;0;0;1;0;0;1;8
90;31/03/2001;0;0;0;0;0;1;0;1;12
91;01/04/2001;0;0;0;0;0;0;1;1;3
92;02/04/2001;1;0;0;0;0;0;0;NA;NA
93;03/04/2001;0;1;0;0;0;0;0;1;25
94;04/04/2001;0;0;1;0;0;0;0;1;30
95;05/04/2001;0;0;0;1;0;0;0;1;29
96;06/04/2001;0;0;0;0;1;0;0;1;22
97;07/04/2001;0;0;0;0;0;1;0;1;5
98;08/04/2001;0;0;0;0;0;0;1;1;1
99;09/04/2001;1;0;0;0;0;0;0;1;19
100;10/04/2001;0;1;0;0;0;0;0;1;28
101;11/04/2001;0;0;1;0;0;0;0;1;10
102;12/04/2001;0;0;0;1;0;0;0;1;17
103;13/04/2001;0;0;0;0;1;0;0;1;20
104;14/04/2001;0;0;0;0;0;1;0;1;12
105;15/04/2001;0;0;0;0;0;0;1;1;5
106;16/04/2001;1;0;0;0;0;0;0;1;19
